subject,k,fold,feature,train,test
2,2,0,hr,0.5617977528089888,0.6521739130434783
2,2,1,hr,0.5730337078651685,0.6521739130434783
2,2,2,hr,0.6179775280898876,0.4782608695652174
2,2,0,eda,0.6853932584269663,0.5217391304347826
2,2,1,eda,0.6067415730337079,0.7391304347826086
2,2,2,eda,0.6179775280898876,0.6956521739130435
2,2,0,pupil,0.47191011235955055,0.5217391304347826
2,2,1,pupil,0.48314606741573035,0.4782608695652174
2,2,2,pupil,0.47191011235955055,0.391304347826087
2,6,0,hr,0.4943820224719101,0.6956521739130435
2,6,1,hr,0.47191011235955055,0.5217391304347826
2,6,2,hr,0.5955056179775281,0.4782608695652174
2,6,0,eda,0.7191011235955056,0.5217391304347826
2,6,1,eda,0.5955056179775281,0.6086956521739131
2,6,2,eda,0.6629213483146067,0.7391304347826086
2,6,0,pupil,0.5056179775280899,0.5217391304347826
2,6,1,pupil,0.651685393258427,0.34782608695652173
2,6,2,pupil,0.5393258426966292,0.391304347826087
2,10,0,hr,0.6292134831460674,0.6086956521739131
2,10,1,hr,0.5730337078651685,0.6086956521739131
2,10,2,hr,0.6067415730337079,0.5217391304347826
2,10,0,eda,0.651685393258427,0.391304347826087
2,10,1,eda,0.6292134831460674,0.7391304347826086
2,10,2,eda,0.5393258426966292,0.4782608695652174
2,10,0,pupil,0.5955056179775281,0.4782608695652174
2,10,1,pupil,0.6292134831460674,0.4782608695652174
2,10,2,pupil,0.550561797752809,0.5217391304347826
2,12,0,hr,0.5842696629213483,0.6956521739130435
2,12,1,hr,0.5617977528089888,0.6956521739130435
2,12,2,hr,0.5955056179775281,0.5217391304347826
2,12,0,eda,0.6292134831460674,0.391304347826087
2,12,1,eda,0.6966292134831461,0.6956521739130435
2,12,2,eda,0.6629213483146067,0.782608695652174
2,12,0,pupil,0.5280898876404494,0.6086956521739131
2,12,1,pupil,0.5730337078651685,0.30434782608695654
2,12,2,pupil,0.5955056179775281,0.4782608695652174
2,15,0,hr,0.550561797752809,0.6521739130434783
2,15,1,hr,0.5842696629213483,0.6086956521739131
2,15,2,hr,0.5168539325842697,0.6086956521739131
2,15,0,eda,0.6292134831460674,0.6521739130434783
2,15,1,eda,0.5730337078651685,0.6956521739130435
2,15,2,eda,0.6067415730337079,0.7391304347826086
2,15,0,pupil,0.5955056179775281,0.6086956521739131
2,15,1,pupil,0.5056179775280899,0.4782608695652174
2,15,2,pupil,0.6179775280898876,0.43478260869565216
2,20,0,hr,0.449438202247191,0.4782608695652174
2,20,1,hr,0.5393258426966292,0.5217391304347826
2,20,2,hr,0.5955056179775281,0.5652173913043478
2,20,0,eda,0.5730337078651685,0.6086956521739131
2,20,1,eda,0.5617977528089888,0.7391304347826086
2,20,2,eda,0.5168539325842697,0.5217391304347826
2,20,0,pupil,0.5393258426966292,0.5217391304347826
2,20,1,pupil,0.6292134831460674,0.2608695652173913
2,20,2,pupil,0.5056179775280899,0.4782608695652174
2,23,0,hr,0.47191011235955055,0.34782608695652173
2,23,1,hr,0.48314606741573035,0.5217391304347826
2,23,2,hr,0.47191011235955055,0.5217391304347826
2,23,0,eda,0.5280898876404494,0.391304347826087
2,23,1,eda,0.6067415730337079,0.6086956521739131
2,23,2,eda,0.4606741573033708,0.391304347826087
2,23,0,pupil,0.5842696629213483,0.5217391304347826
2,23,1,pupil,0.5393258426966292,0.5217391304347826
2,23,2,pupil,0.5168539325842697,0.6086956521739131
4,2,0,hr,0.5280898876404494,0.7391304347826086
4,2,1,hr,0.43820224719101125,0.6521739130434783
4,2,2,hr,0.5617977528089888,0.391304347826087
4,2,0,eda,0.4943820224719101,0.6956521739130435
4,2,1,eda,0.5617977528089888,0.4782608695652174
4,2,2,eda,0.5280898876404494,0.6956521739130435
4,2,0,pupil,0.4606741573033708,0.6521739130434783
4,2,1,pupil,0.5280898876404494,0.391304347826087
4,2,2,pupil,0.5280898876404494,0.4782608695652174
4,6,0,hr,0.4606741573033708,0.34782608695652173
4,6,1,hr,0.5842696629213483,0.43478260869565216
4,6,2,hr,0.550561797752809,0.30434782608695654
4,6,0,eda,0.5955056179775281,0.2608695652173913
4,6,1,eda,0.5393258426966292,0.391304347826087
4,6,2,eda,0.5393258426966292,0.782608695652174
4,6,0,pupil,0.5393258426966292,0.43478260869565216
4,6,1,pupil,0.5617977528089888,0.5217391304347826
4,6,2,pupil,0.43820224719101125,0.30434782608695654
4,10,0,hr,0.5168539325842697,0.7391304347826086
4,10,1,hr,0.5617977528089888,0.5652173913043478
4,10,2,hr,0.5842696629213483,0.6521739130434783
4,10,0,eda,0.5056179775280899,0.5652173913043478
4,10,1,eda,0.6179775280898876,0.4782608695652174
4,10,2,eda,0.449438202247191,0.391304347826087
4,10,0,pupil,0.5842696629213483,0.43478260869565216
4,10,1,pupil,0.6292134831460674,0.6521739130434783
4,10,2,pupil,0.5617977528089888,0.391304347826087
4,12,0,hr,0.5056179775280899,0.6521739130434783
4,12,1,hr,0.4943820224719101,0.5217391304347826
4,12,2,hr,0.5842696629213483,0.391304347826087
4,12,0,eda,0.48314606741573035,0.5652173913043478
4,12,1,eda,0.4943820224719101,0.2608695652173913
4,12,2,eda,0.4157303370786517,0.2608695652173913
4,12,0,pupil,0.6179775280898876,0.30434782608695654
4,12,1,pupil,0.5617977528089888,0.5217391304347826
4,12,2,pupil,0.5168539325842697,0.391304347826087
4,15,0,hr,0.48314606741573035,0.30434782608695654
4,15,1,hr,0.5393258426966292,0.5652173913043478
4,15,2,hr,0.5842696629213483,0.43478260869565216
4,15,0,eda,0.5617977528089888,0.5652173913043478
4,15,1,eda,0.5842696629213483,0.5217391304347826
4,15,2,eda,0.47191011235955055,0.6086956521739131
4,15,0,pupil,0.651685393258427,0.30434782608695654
4,15,1,pupil,0.5730337078651685,0.391304347826087
4,15,2,pupil,0.5280898876404494,0.4782608695652174
4,20,0,hr,0.47191011235955055,0.391304347826087
4,20,1,hr,0.449438202247191,0.391304347826087
4,20,2,hr,0.5056179775280899,0.43478260869565216
4,20,0,eda,0.5280898876404494,0.6521739130434783
4,20,1,eda,0.5280898876404494,0.5652173913043478
4,20,2,eda,0.5280898876404494,0.6521739130434783
4,20,0,pupil,0.5842696629213483,0.4782608695652174
4,20,1,pupil,0.5280898876404494,0.6521739130434783
4,20,2,pupil,0.5730337078651685,0.5217391304347826
4,23,0,hr,0.5393258426966292,0.5652173913043478
4,23,1,hr,0.5168539325842697,0.6086956521739131
4,23,2,hr,0.42696629213483145,0.6521739130434783
4,23,0,eda,0.449438202247191,0.34782608695652173
4,23,1,eda,0.5393258426966292,0.6956521739130435
4,23,2,eda,0.47191011235955055,0.21739130434782608
4,23,0,pupil,0.4943820224719101,0.5652173913043478
4,23,1,pupil,0.4943820224719101,0.5217391304347826
4,23,2,pupil,0.47191011235955055,0.391304347826087
10,2,0,hr,0.5393258426966292,0.43478260869565216
10,2,1,hr,0.550561797752809,0.4782608695652174
10,2,2,hr,0.5168539325842697,0.6086956521739131
10,2,0,eda,0.550561797752809,0.43478260869565216
10,2,1,eda,0.5168539325842697,0.5652173913043478
10,2,2,eda,0.5617977528089888,0.391304347826087
10,2,0,pupil,0.5730337078651685,0.4782608695652174
10,2,1,pupil,0.5168539325842697,0.7391304347826086
10,2,2,pupil,0.5393258426966292,0.6521739130434783
10,6,0,hr,0.5730337078651685,0.5652173913043478
10,6,1,hr,0.6067415730337079,0.391304347826087
10,6,2,hr,0.5393258426966292,0.4782608695652174
10,6,0,eda,0.5280898876404494,0.5652173913043478
10,6,1,eda,0.5393258426966292,0.21739130434782608
10,6,2,eda,0.6292134831460674,0.43478260869565216
10,6,0,pupil,0.6179775280898876,0.43478260869565216
10,6,1,pupil,0.5730337078651685,0.5652173913043478
10,6,2,pupil,0.6067415730337079,0.5652173913043478
10,10,0,hr,0.6179775280898876,0.6521739130434783
10,10,1,hr,0.6853932584269663,0.391304347826087
10,10,2,hr,0.5056179775280899,0.6521739130434783
10,10,0,eda,0.4943820224719101,0.391304347826087
10,10,1,eda,0.5730337078651685,0.5652173913043478
10,10,2,eda,0.5955056179775281,0.4782608695652174
10,10,0,pupil,0.6179775280898876,0.43478260869565216
10,10,1,pupil,0.5842696629213483,0.4782608695652174
10,10,2,pupil,0.5617977528089888,0.43478260869565216
10,12,0,hr,0.5168539325842697,0.391304347826087
10,12,1,hr,0.5955056179775281,0.391304347826087
10,12,2,hr,0.4943820224719101,0.5652173913043478
10,12,0,eda,0.550561797752809,0.43478260869565216
10,12,1,eda,0.550561797752809,0.4782608695652174
10,12,2,eda,0.5730337078651685,0.43478260869565216
10,12,0,pupil,0.5393258426966292,0.6521739130434783
10,12,1,pupil,0.4943820224719101,0.6086956521739131
10,12,2,pupil,0.5730337078651685,0.43478260869565216
10,15,0,hr,0.48314606741573035,0.5217391304347826
10,15,1,hr,0.6292134831460674,0.4782608695652174
10,15,2,hr,0.4606741573033708,0.4782608695652174
10,15,0,eda,0.48314606741573035,0.21739130434782608
10,15,1,eda,0.47191011235955055,0.4782608695652174
10,15,2,eda,0.550561797752809,0.4782608695652174
10,15,0,pupil,0.4157303370786517,0.5217391304347826
10,15,1,pupil,0.6067415730337079,0.4782608695652174
10,15,2,pupil,0.5842696629213483,0.4782608695652174
10,20,0,hr,0.5056179775280899,0.5652173913043478
10,20,1,hr,0.550561797752809,0.6086956521739131
10,20,2,hr,0.5617977528089888,0.4782608695652174
10,20,0,eda,0.5955056179775281,0.34782608695652173
10,20,1,eda,0.6179775280898876,0.391304347826087
10,20,2,eda,0.5730337078651685,0.4782608695652174
10,20,0,pupil,0.5955056179775281,0.5217391304347826
10,20,1,pupil,0.4943820224719101,0.5217391304347826
10,20,2,pupil,0.5056179775280899,0.5217391304347826
10,23,0,hr,0.5730337078651685,0.6521739130434783
10,23,1,hr,0.4157303370786517,0.6521739130434783
10,23,2,hr,0.4606741573033708,0.4782608695652174
10,23,0,eda,0.5617977528089888,0.30434782608695654
10,23,1,eda,0.47191011235955055,0.6086956521739131
10,23,2,eda,0.48314606741573035,0.5652173913043478
10,23,0,pupil,0.5393258426966292,0.5217391304347826
10,23,1,pupil,0.5056179775280899,0.43478260869565216
10,23,2,pupil,0.5280898876404494,0.43478260869565216
41,2,0,hr,0.5168539325842697,0.4782608695652174
41,2,1,hr,0.5168539325842697,0.4782608695652174
41,2,2,hr,0.5168539325842697,0.30434782608695654
41,2,0,eda,0.43820224719101125,0.4782608695652174
41,2,1,eda,0.4943820224719101,0.4782608695652174
41,2,2,eda,0.43820224719101125,0.391304347826087
41,2,0,pupil,0.6179775280898876,0.4782608695652174
41,2,1,pupil,0.6629213483146067,0.6086956521739131
41,6,1,hr,0.43820224719101125,0.391304347826087
41,6,2,hr,0.5168539325842697,0.5217391304347826
41,6,0,eda,0.5168539325842697,0.43478260869565216
41,6,1,eda,0.5056179775280899,0.34782608695652173
41,6,2,eda,0.5280898876404494,0.4782608695652174
41,6,0,pupil,0.5617977528089888,0.4782608695652174
41,6,1,pupil,0.5842696629213483,0.5652173913043478
41,6,2,pupil,0.5393258426966292,0.6521739130434783
41,10,0,hr,0.6292134831460674,0.5652173913043478
41,10,1,hr,0.47191011235955055,0.6086956521739131
41,10,2,hr,0.5842696629213483,0.391304347826087
41,10,0,eda,0.5280898876404494,0.43478260869565216
41,10,1,eda,0.4606741573033708,0.5652173913043478
41,10,2,eda,0.550561797752809,0.391304347826087
41,10,0,pupil,0.5955056179775281,0.4782608695652174
41,10,1,pupil,0.6179775280898876,0.6521739130434783
41,10,2,pupil,0.6067415730337079,0.6956521739130435
41,12,0,hr,0.4943820224719101,0.43478260869565216
41,12,1,hr,0.5056179775280899,0.5652173913043478
41,12,2,hr,0.4157303370786517,0.391304347826087
41,12,0,eda,0.43820224719101125,0.5217391304347826
41,12,1,eda,0.4943820224719101,0.34782608695652173
41,12,2,eda,0.5280898876404494,0.5217391304347826
41,12,0,pupil,0.5617977528089888,0.782608695652174
41,12,1,pupil,0.6292134831460674,0.34782608695652173
41,12,2,pupil,0.5842696629213483,0.6086956521739131
41,15,0,hr,0.5056179775280899,0.4782608695652174
41,15,1,hr,0.4943820224719101,0.43478260869565216
41,15,2,hr,0.5056179775280899,0.5217391304347826
41,15,0,eda,0.48314606741573035,0.30434782608695654
41,15,1,eda,0.47191011235955055,0.6521739130434783
41,15,2,eda,0.5056179775280899,0.5652173913043478
41,15,0,pupil,0.5393258426966292,0.7391304347826086
41,15,1,pupil,0.5955056179775281,0.5652173913043478
41,15,2,pupil,0.5955056179775281,0.6956521739130435
41,20,0,hr,0.5730337078651685,0.43478260869565216
41,20,1,hr,0.48314606741573035,0.5652173913043478
41,20,2,hr,0.550561797752809,0.34782608695652173
41,20,0,eda,0.449438202247191,0.5217391304347826
41,20,1,eda,0.5168539325842697,0.5217391304347826
41,20,2,eda,0.5056179775280899,0.6521739130434783
41,20,0,pupil,0.6741573033707865,0.4782608695652174
41,20,1,pupil,0.550561797752809,0.30434782608695654
41,20,2,pupil,0.47191011235955055,0.7391304347826086
41,23,0,hr,0.550561797752809,0.5652173913043478
41,23,1,hr,0.4943820224719101,0.43478260869565216
41,23,2,hr,0.43820224719101125,0.4782608695652174
41,23,0,eda,0.5168539325842697,0.6086956521739131
