,Subject,Latent dimension,Feature type,Train accuracy,Validation Accuracy,Test accuracy,Validation accuracy
0,2,2,hr,0.5,,0.4782608695652174,0.2727272727272727
1,2,2,eda,0.5384615384615384,,0.4782608695652174,0.7272727272727273
2,2,2,pupil,0.5256410256410257,,0.5217391304347826,0.2727272727272727
3,2,3,hr,0.5641025641025641,,0.391304347826087,0.45454545454545453
4,2,3,eda,0.6410256410256411,,0.5217391304347826,0.7272727272727273
5,2,3,pupil,0.6025641025641025,,0.4782608695652174,0.7272727272727273
6,2,4,hr,1.0,,0.5217391304347826,0.2727272727272727
7,2,4,eda,0.6538461538461539,,0.6086956521739131,0.5454545454545454
8,2,4,pupil,0.6153846153846154,,0.4782608695652174,0.2727272727272727
9,2,5,hr,0.9871794871794872,,0.5217391304347826,0.2727272727272727
10,2,5,eda,0.5897435897435898,,0.6086956521739131,0.6363636363636364
11,2,5,pupil,0.5256410256410257,,0.5217391304347826,0.2727272727272727
12,2,6,hr,0.9358974358974359,,0.5217391304347826,0.2727272727272727
13,2,6,eda,0.6282051282051282,,0.5652173913043478,0.7272727272727273
14,2,6,pupil,0.5897435897435898,,0.5217391304347826,0.7272727272727273
15,2,7,hr,0.9615384615384616,,0.5217391304347826,0.2727272727272727
16,2,7,eda,0.7564102564102564,,0.34782608695652173,0.8181818181818182
17,2,7,pupil,0.6025641025641025,,0.6086956521739131,0.2727272727272727
18,2,8,hr,0.9871794871794872,,0.5217391304347826,0.2727272727272727
19,2,8,eda,0.6025641025641025,,0.5652173913043478,0.9090909090909091
20,2,8,pupil,0.5512820512820513,,0.5217391304347826,0.2727272727272727
21,2,9,hr,0.9871794871794872,,0.5217391304347826,0.2727272727272727
22,2,9,eda,0.6410256410256411,,0.5652173913043478,0.18181818181818182
23,2,9,pupil,0.5641025641025641,,0.5652173913043478,0.2727272727272727
24,2,10,hr,0.9871794871794872,,0.5217391304347826,0.2727272727272727
25,2,10,eda,0.6410256410256411,,0.6521739130434783,0.0
26,2,10,pupil,0.6410256410256411,,0.43478260869565216,0.36363636363636365
27,4,2,hr,0.5,,0.6521739130434783,0.45454545454545453
28,4,2,eda,0.5512820512820513,,0.4782608695652174,0.45454545454545453
29,4,2,pupil,0.5641025641025641,,0.34782608695652173,0.6363636363636364
30,4,3,hr,0.6666666666666666,,0.5217391304347826,0.45454545454545453
31,4,3,eda,0.5256410256410257,,0.34782608695652173,0.45454545454545453
32,4,3,pupil,0.5384615384615384,,0.6521739130434783,0.36363636363636365
33,4,4,hr,0.9871794871794872,,0.34782608695652173,0.6363636363636364
34,4,4,eda,0.5128205128205128,,0.5652173913043478,0.18181818181818182
35,4,4,pupil,0.6025641025641025,,0.34782608695652173,0.6363636363636364
36,4,5,hr,0.9102564102564102,,0.34782608695652173,0.6363636363636364
37,4,5,eda,0.5512820512820513,,0.34782608695652173,0.7272727272727273
38,4,5,pupil,0.5641025641025641,,0.5652173913043478,0.2727272727272727
39,4,6,hr,0.9487179487179487,,0.34782608695652173,0.6363636363636364
40,4,6,eda,0.5641025641025641,,0.6521739130434783,0.2727272727272727
41,4,6,pupil,0.5,,0.6086956521739131,0.6363636363636364
42,4,7,hr,0.9358974358974359,,0.34782608695652173,0.6363636363636364
43,4,7,eda,0.5384615384615384,,0.34782608695652173,0.6363636363636364
44,4,7,pupil,0.6025641025641025,,0.30434782608695654,0.5454545454545454
45,4,8,hr,0.8974358974358975,,0.34782608695652173,0.6363636363636364
46,4,8,eda,0.6282051282051282,,0.391304347826087,0.7272727272727273
47,4,8,pupil,0.5641025641025641,,0.34782608695652173,0.8181818181818182
48,4,9,hr,0.8974358974358975,,0.34782608695652173,0.6363636363636364
49,4,9,eda,0.6282051282051282,,0.7391304347826086,0.36363636363636365
50,4,9,pupil,0.5769230769230769,,0.6521739130434783,0.36363636363636365
51,4,10,hr,0.8717948717948718,,0.34782608695652173,0.6363636363636364
52,4,10,eda,0.6153846153846154,,0.4782608695652174,0.8181818181818182
53,4,10,pupil,0.5512820512820513,,0.43478260869565216,0.7272727272727273
54,10,2,hr,0.6282051282051282,,0.4782608695652174,0.5454545454545454
55,10,2,eda,0.6282051282051282,,0.4782608695652174,0.5454545454545454
56,10,2,pupil,0.6282051282051282,,0.4782608695652174,0.5454545454545454
57,10,3,hr,0.7051282051282052,,0.5217391304347826,0.45454545454545453
58,10,3,eda,0.6153846153846154,,0.4782608695652174,0.6363636363636364
59,10,3,pupil,0.6282051282051282,,0.4782608695652174,0.5454545454545454
60,10,4,hr,0.6538461538461539,,0.5217391304347826,0.45454545454545453
61,10,4,eda,0.6410256410256411,,0.43478260869565216,0.6363636363636364
62,10,4,pupil,0.6282051282051282,,0.4782608695652174,0.6363636363636364
63,10,5,hr,0.6923076923076923,,0.5652173913043478,0.45454545454545453
64,10,5,eda,0.6666666666666666,,0.5652173913043478,0.7272727272727273
65,10,5,pupil,0.6282051282051282,,0.4782608695652174,0.5454545454545454
66,10,6,hr,0.6923076923076923,,0.4782608695652174,0.5454545454545454
67,10,6,eda,0.6923076923076923,,0.4782608695652174,0.45454545454545453
68,10,6,pupil,0.6282051282051282,,0.4782608695652174,0.6363636363636364
69,10,7,hr,0.6538461538461539,,0.4782608695652174,0.5454545454545454
70,10,7,eda,0.6666666666666666,,0.4782608695652174,0.36363636363636365
71,10,7,pupil,0.6282051282051282,,0.5652173913043478,0.5454545454545454
72,10,8,hr,0.6410256410256411,,0.4782608695652174,0.5454545454545454
73,10,8,eda,0.6923076923076923,,0.4782608695652174,0.6363636363636364
74,10,8,pupil,0.6410256410256411,,0.6086956521739131,0.5454545454545454
75,10,9,hr,0.6794871794871795,,0.43478260869565216,0.6363636363636364
76,10,9,eda,0.6666666666666666,,0.30434782608695654,0.2727272727272727
77,10,9,pupil,0.6410256410256411,,0.4782608695652174,0.5454545454545454
78,10,10,hr,0.7435897435897436,,0.4782608695652174,0.5454545454545454
79,10,10,eda,0.6538461538461539,,0.4782608695652174,0.5454545454545454
80,10,10,pupil,0.6282051282051282,,0.43478260869565216,0.6363636363636364
81,41,2,hr,0.6410256410256411,,0.7391304347826086,0.5454545454545454
82,41,2,eda,0.5512820512820513,,0.6956521739130435,0.6363636363636364
83,41,2,pupil,0.6153846153846154,,0.8260869565217391,0.7272727272727273
84,41,3,hr,0.8333333333333334,,0.8260869565217391,0.7272727272727273
85,41,3,eda,0.6538461538461539,,0.6086956521739131,0.8181818181818182
86,41,3,pupil,0.6153846153846154,,0.8260869565217391,0.7272727272727273
87,41,4,hr,0.7948717948717948,,0.8260869565217391,0.7272727272727273
88,41,4,eda,0.6410256410256411,,0.4782608695652174,0.36363636363636365
89,41,4,pupil,0.6153846153846154,,0.8260869565217391,0.7272727272727273
90,41,5,hr,0.7948717948717948,,0.8260869565217391,0.7272727272727273
91,41,5,eda,0.6666666666666666,,0.43478260869565216,0.45454545454545453
92,41,5,pupil,0.6153846153846154,,0.8260869565217391,0.7272727272727273
93,41,6,hr,0.8205128205128205,,0.8260869565217391,0.7272727272727273
94,41,6,eda,0.6025641025641025,,0.391304347826087,0.45454545454545453
95,41,6,pupil,0.6153846153846154,,0.8260869565217391,0.7272727272727273
96,41,7,hr,0.8461538461538461,,0.8260869565217391,0.7272727272727273
97,41,7,eda,0.6410256410256411,,0.391304347826087,0.2727272727272727
98,41,7,pupil,0.6153846153846154,,0.8260869565217391,0.7272727272727273
99,41,8,hr,0.8589743589743589,,0.8260869565217391,0.7272727272727273
100,41,8,eda,0.6153846153846154,,0.8260869565217391,0.6363636363636364
101,41,8,pupil,0.6153846153846154,,0.8260869565217391,0.7272727272727273
102,41,9,hr,0.8846153846153846,,0.8260869565217391,0.7272727272727273
103,41,9,eda,0.5897435897435898,,0.4782608695652174,0.45454545454545453
104,41,9,pupil,0.6153846153846154,,0.8260869565217391,0.5454545454545454
105,41,10,hr,0.8717948717948718,,0.8260869565217391,0.7272727272727273
106,41,10,eda,0.6410256410256411,,0.6521739130434783,0.6363636363636364
107,41,10,pupil,0.6153846153846154,,0.8260869565217391,0.7272727272727273
108,43,2,hr,0.48717948717948717,,0.6521739130434783,0.6363636363636364
109,43,2,eda,0.6923076923076923,,0.5652173913043478,0.8181818181818182
110,43,2,pupil,0.5512820512820513,,0.6086956521739131,0.8181818181818182
111,43,3,hr,0.8205128205128205,,0.391304347826087,0.18181818181818182
112,43,3,eda,0.6666666666666666,,0.5217391304347826,0.7272727272727273
113,43,3,pupil,0.5384615384615384,,0.6086956521739131,0.8181818181818182
114,43,4,hr,0.8205128205128205,,0.391304347826087,0.18181818181818182
115,43,4,eda,0.6025641025641025,,0.6521739130434783,0.7272727272727273
116,43,4,pupil,0.5641025641025641,,0.6086956521739131,0.8181818181818182
117,43,5,hr,0.9743589743589743,,0.30434782608695654,0.2727272727272727
118,43,5,eda,0.6794871794871795,,0.4782608695652174,0.7272727272727273
119,43,5,pupil,0.5512820512820513,,0.391304347826087,0.18181818181818182
120,43,6,hr,0.9615384615384616,,0.5652173913043478,0.8181818181818182
121,43,6,eda,0.717948717948718,,0.6521739130434783,0.9090909090909091
122,43,6,pupil,0.5769230769230769,,0.6521739130434783,0.6363636363636364
123,43,7,hr,1.0,,0.43478260869565216,0.5454545454545454
124,43,7,eda,0.7051282051282052,,0.4782608695652174,0.36363636363636365
125,43,7,pupil,0.5384615384615384,,0.782608695652174,0.6363636363636364
126,43,8,hr,0.9871794871794872,,0.6086956521739131,0.8181818181818182
127,43,8,eda,0.717948717948718,,0.6086956521739131,0.2727272727272727
128,43,8,pupil,0.5641025641025641,,0.5652173913043478,0.36363636363636365
129,43,9,hr,1.0,,0.6086956521739131,0.8181818181818182
130,43,9,eda,0.7307692307692307,,0.6956521739130435,0.5454545454545454
131,43,9,pupil,0.6025641025641025,,0.6521739130434783,0.36363636363636365
132,43,10,hr,1.0,,0.391304347826087,0.18181818181818182
133,43,10,eda,0.7307692307692307,,0.4782608695652174,0.6363636363636364
134,43,10,pupil,0.6153846153846154,,0.6086956521739131,0.8181818181818182
135,44,2,hr,0.7307692307692307,,0.6086956521739131,0.45454545454545453
136,44,2,eda,0.7051282051282052,,0.6521739130434783,0.36363636363636365
137,44,2,pupil,0.6410256410256411,,0.6521739130434783,0.36363636363636365
138,44,3,hr,0.8846153846153846,,0.34782608695652173,0.6363636363636364
139,44,3,eda,0.6410256410256411,,0.5652173913043478,0.45454545454545453
140,44,3,pupil,0.6410256410256411,,0.6521739130434783,0.36363636363636365
141,44,4,hr,0.9615384615384616,,0.34782608695652173,0.6363636363636364
142,44,4,eda,0.6794871794871795,,0.6521739130434783,0.6363636363636364
143,44,4,pupil,0.6410256410256411,,0.6521739130434783,0.36363636363636365
144,44,5,hr,0.8974358974358975,,0.34782608695652173,0.6363636363636364
145,44,5,eda,0.6538461538461539,,0.6956521739130435,0.5454545454545454
146,44,5,pupil,0.6538461538461539,,0.6956521739130435,0.45454545454545453
147,44,6,hr,0.9102564102564102,,0.34782608695652173,0.6363636363636364
148,44,6,eda,0.6666666666666666,,0.6521739130434783,0.6363636363636364
149,44,6,pupil,0.6794871794871795,,0.34782608695652173,0.6363636363636364
150,44,7,hr,0.9358974358974359,,0.34782608695652173,0.6363636363636364
151,44,7,eda,0.6282051282051282,,0.4782608695652174,0.36363636363636365
152,44,7,pupil,0.6794871794871795,,0.5652173913043478,0.36363636363636365
153,44,8,hr,0.9358974358974359,,0.34782608695652173,0.6363636363636364
154,44,8,eda,0.6666666666666666,,0.5652173913043478,0.36363636363636365
155,44,8,pupil,0.6666666666666666,,0.6521739130434783,0.36363636363636365
156,44,9,hr,0.9743589743589743,,0.34782608695652173,0.6363636363636364
157,44,9,eda,0.6410256410256411,,0.34782608695652173,0.6363636363636364
158,44,9,pupil,0.6538461538461539,,0.6956521739130435,0.36363636363636365
159,44,10,hr,0.8589743589743589,,0.30434782608695654,0.5454545454545454
160,44,10,eda,0.8974358974358975,,0.6086956521739131,0.36363636363636365
161,44,10,pupil,0.6538461538461539,,0.6521739130434783,0.36363636363636365
162,45,2,hr,0.6410256410256411,,0.5217391304347826,0.7272727272727273
163,45,2,eda,0.6153846153846154,,0.7391304347826086,0.6363636363636364
164,45,2,pupil,0.6410256410256411,,0.6521739130434783,0.9090909090909091
165,45,3,hr,0.6794871794871795,,0.4782608695652174,0.45454545454545453
166,45,3,eda,0.6666666666666666,,0.5652173913043478,0.6363636363636364
167,45,3,pupil,0.6410256410256411,,0.6521739130434783,0.9090909090909091
168,45,4,hr,0.6794871794871795,,0.43478260869565216,0.45454545454545453
169,45,4,eda,0.6538461538461539,,0.6521739130434783,0.8181818181818182
170,45,4,pupil,0.6410256410256411,,0.6521739130434783,0.9090909090909091
171,45,5,hr,0.8717948717948718,,0.6521739130434783,0.9090909090909091
172,45,5,eda,0.7307692307692307,,0.8260869565217391,0.5454545454545454
173,45,5,pupil,0.6410256410256411,,0.6521739130434783,0.9090909090909091
174,45,6,hr,0.8333333333333334,,0.6521739130434783,0.9090909090909091
175,45,6,eda,0.7564102564102564,,0.8260869565217391,0.7272727272727273
176,45,6,pupil,0.6410256410256411,,0.6521739130434783,0.9090909090909091
177,45,7,hr,0.8205128205128205,,0.6521739130434783,0.9090909090909091
178,45,7,eda,0.7692307692307693,,0.8695652173913043,0.7272727272727273
179,45,7,pupil,0.6410256410256411,,0.6521739130434783,0.9090909090909091
180,45,8,hr,0.8717948717948718,,0.6521739130434783,0.9090909090909091
181,45,8,eda,0.7564102564102564,,0.6521739130434783,0.45454545454545453
182,45,8,pupil,0.6410256410256411,,0.7391304347826086,0.6363636363636364
183,45,9,hr,0.9743589743589743,,0.5652173913043478,0.7272727272727273
184,45,9,eda,0.782051282051282,,0.8260869565217391,0.7272727272727273
185,45,9,pupil,0.6538461538461539,,0.7391304347826086,0.5454545454545454
186,45,10,hr,0.9743589743589743,,0.6521739130434783,0.9090909090909091
187,45,10,eda,0.7564102564102564,,0.34782608695652173,0.18181818181818182
188,45,10,pupil,0.6410256410256411,,0.4782608695652174,0.9090909090909091
189,46,2,hr,0.6025641025641025,,0.6521739130434783,0.45454545454545453
190,46,2,eda,0.5384615384615384,,0.5217391304347826,0.5454545454545454
191,46,2,pupil,0.6025641025641025,,0.6521739130434783,0.45454545454545453
192,46,3,hr,0.6025641025641025,,0.5652173913043478,0.6363636363636364
193,46,3,eda,0.5769230769230769,,0.34782608695652173,0.5454545454545454
194,46,3,pupil,0.6025641025641025,,0.6521739130434783,0.45454545454545453
195,46,4,hr,0.6666666666666666,,0.6521739130434783,0.45454545454545453
196,46,4,eda,0.5641025641025641,,0.4782608695652174,0.45454545454545453
197,46,4,pupil,0.6282051282051282,,0.6521739130434783,0.45454545454545453
198,46,5,hr,0.6666666666666666,,0.6521739130434783,0.45454545454545453
199,46,5,eda,0.5897435897435898,,0.5652173913043478,0.5454545454545454
200,46,5,pupil,0.6153846153846154,,0.6086956521739131,0.36363636363636365
201,46,6,hr,0.6025641025641025,,0.6521739130434783,0.45454545454545453
202,46,6,eda,0.7564102564102564,,0.6521739130434783,0.45454545454545453
203,46,6,pupil,0.6153846153846154,,0.7391304347826086,0.36363636363636365
204,46,7,hr,0.6666666666666666,,0.4782608695652174,0.45454545454545453
205,46,7,eda,0.7435897435897436,,0.6086956521739131,0.5454545454545454
206,46,7,pupil,0.6153846153846154,,0.6521739130434783,0.45454545454545453
207,46,8,hr,0.9102564102564102,,0.6521739130434783,0.45454545454545453
208,46,8,eda,0.6282051282051282,,0.5217391304347826,0.5454545454545454
209,46,8,pupil,0.6282051282051282,,0.6521739130434783,0.5454545454545454
210,46,9,hr,0.8461538461538461,,0.5217391304347826,0.45454545454545453
211,46,9,eda,0.6794871794871795,,0.8260869565217391,0.5454545454545454
212,46,9,pupil,0.6282051282051282,,0.7391304347826086,0.2727272727272727
213,46,10,hr,1.0,,0.34782608695652173,0.5454545454545454
214,46,10,eda,0.6282051282051282,,0.30434782608695654,0.5454545454545454
215,46,10,pupil,0.6153846153846154,,0.6521739130434783,0.36363636363636365
