subject,type,fold,train,test my accuracy,test posterior
2,hr,0,0.5730337078651685,0.6086956521739131,0.4782608695652174
2,hr,1,0.6179775280898876,0.6521739130434783,0.6086956521739131
2,hr,2,0.5955056179775281,0.5217391304347826,0.5652173913043478
2,eda,0,0.7191011235955056,0.6956521739130435,0.4782608695652174
2,eda,1,0.7078651685393258,0.6086956521739131,0.6086956521739131
2,eda,2,0.7078651685393258,0.5652173913043478,0.5217391304347826
2,pupil,0,0.651685393258427,0.4782608695652174,0.6521739130434783
2,pupil,1,0.6966292134831461,0.5217391304347826,0.6521739130434783
2,pupil,2,0.6741573033707865,0.5652173913043478,0.34782608695652173
4,hr,0,0.6629213483146067,0.6086956521739131,0.43478260869565216
4,hr,1,0.6179775280898876,0.5217391304347826,0.4782608695652174
4,hr,2,0.5842696629213483,0.5652173913043478,0.5217391304347826
4,eda,0,0.5617977528089888,0.5652173913043478,0.5217391304347826
4,eda,1,0.5842696629213483,0.43478260869565216,0.5217391304347826
4,eda,2,0.6067415730337079,0.5652173913043478,0.5217391304347826
4,pupil,0,0.6292134831460674,0.5217391304347826,0.43478260869565216
4,pupil,1,0.6853932584269663,0.5652173913043478,0.43478260869565216
4,pupil,2,0.5842696629213483,0.5652173913043478,0.43478260869565216
10,hr,0,0.5617977528089888,0.6956521739130435,0.4782608695652174
10,hr,1,0.5730337078651685,0.6521739130434783,0.30434782608695654
10,hr,2,0.6179775280898876,0.5217391304347826,0.391304347826087
10,eda,0,0.5955056179775281,0.4782608695652174,0.6956521739130435
10,eda,1,0.5730337078651685,0.391304347826087,0.6521739130434783
10,eda,2,0.5955056179775281,0.43478260869565216,0.5652173913043478
10,pupil,0,0.6179775280898876,0.5652173913043478,0.6086956521739131
10,pupil,1,0.6404494382022472,0.4782608695652174,0.6956521739130435
10,pupil,2,0.6741573033707865,0.5217391304347826,0.5217391304347826
41,hr,0,0.5730337078651685,0.4782608695652174,0.2608695652173913
41,hr,1,0.5280898876404494,0.6956521739130435,0.34782608695652173
41,hr,2,0.5842696629213483,0.4782608695652174,0.30434782608695654
41,eda,0,0.5168539325842697,0.2608695652173913,0.43478260869565216
41,eda,1,0.5168539325842697,0.391304347826087,0.5652173913043478
41,eda,2,0.5730337078651685,0.43478260869565216,0.6086956521739131
41,pupil,0,0.7640449438202247,0.4782608695652174,0.30434782608695654
41,pupil,1,0.7752808988764045,0.6086956521739131,0.4782608695652174
41,pupil,2,0.7640449438202247,0.6086956521739131,0.4782608695652174
43,hr,0,0.6629213483146067,0.5217391304347826,0.5652173913043478
43,hr,1,0.6179775280898876,0.4782608695652174,0.4782608695652174
43,hr,2,0.651685393258427,0.43478260869565216,0.6521739130434783
43,eda,0,0.6741573033707865,0.5652173913043478,0.5217391304347826
43,eda,1,0.6966292134831461,0.6521739130434783,0.6086956521739131
43,eda,2,0.6629213483146067,0.6956521739130435,0.6086956521739131
43,pupil,0,0.6853932584269663,0.6086956521739131,0.6521739130434783
43,pupil,1,0.6404494382022472,0.43478260869565216,0.4782608695652174
43,pupil,2,0.7303370786516854,0.5217391304347826,0.43478260869565216
44,hr,0,0.6179775280898876,0.6521739130434783,0.5217391304347826
44,hr,1,0.6067415730337079,0.6086956521739131,0.391304347826087
44,hr,2,0.5955056179775281,0.34782608695652173,0.5217391304347826
44,eda,0,0.6629213483146067,0.6086956521739131,0.2608695652173913
44,eda,1,0.6629213483146067,0.43478260869565216,0.5217391304347826
44,eda,2,0.6179775280898876,0.6086956521739131,0.30434782608695654
44,pupil,0,0.6853932584269663,0.6521739130434783,0.5652173913043478
44,pupil,1,0.6966292134831461,0.7391304347826086,0.4782608695652174
44,pupil,2,0.7078651685393258,0.6086956521739131,0.4782608695652174
45,hr,0,0.6741573033707865,0.43478260869565216,0.5217391304347826
45,hr,1,0.5842696629213483,0.5217391304347826,0.5217391304347826
45,hr,2,0.6067415730337079,0.4782608695652174,0.5217391304347826
45,eda,0,0.6741573033707865,0.7391304347826086,0.6521739130434783
45,eda,1,0.7528089887640449,0.5652173913043478,0.5652173913043478
45,eda,2,0.7191011235955056,0.5652173913043478,0.5652173913043478
45,pupil,0,0.7303370786516854,0.6086956521739131,0.391304347826087
45,pupil,1,0.7415730337078652,0.6521739130434783,0.391304347826087
45,pupil,2,0.7865168539325843,0.5652173913043478,0.391304347826087
46,hr,0,0.651685393258427,0.5217391304347826,0.4782608695652174
46,hr,1,0.5730337078651685,0.5217391304347826,0.5217391304347826
46,hr,2,0.550561797752809,0.5217391304347826,0.5652173913043478
46,eda,0,0.6629213483146067,0.6086956521739131,0.2608695652173913
46,eda,1,0.7191011235955056,0.5217391304347826,0.5217391304347826
46,eda,2,0.6853932584269663,0.6086956521739131,0.43478260869565216
46,pupil,0,0.6067415730337079,0.5652173913043478,0.6086956521739131
46,pupil,1,0.6179775280898876,0.5217391304347826,0.43478260869565216
46,pupil,2,0.6292134831460674,0.43478260869565216,0.34782608695652173
47,hr,0,0.5617977528089888,0.5217391304347826,0.43478260869565216
47,hr,1,0.5730337078651685,0.391304347826087,0.7391304347826086
47,hr,2,0.4943820224719101,0.34782608695652173,0.6086956521739131
47,eda,0,0.6741573033707865,0.34782608695652173,0.4782608695652174
47,eda,1,0.6292134831460674,0.6086956521739131,0.6521739130434783
47,eda,2,0.6853932584269663,0.6521739130434783,0.5217391304347826
47,pupil,0,0.7303370786516854,0.6086956521739131,0.34782608695652173
47,pupil,1,0.7303370786516854,0.5652173913043478,0.4782608695652174
47,pupil,2,0.7528089887640449,0.5217391304347826,0.6521739130434783
48,hr,0,0.6292134831460674,0.6956521739130435,0.5217391304347826
48,hr,1,0.7191011235955056,0.4782608695652174,0.43478260869565216
48,hr,2,0.6404494382022472,0.6086956521739131,0.5652173913043478
48,eda,0,0.6292134831460674,0.7391304347826086,0.6086956521739131
48,eda,1,0.6853932584269663,0.5217391304347826,0.43478260869565216
48,eda,2,0.6629213483146067,0.6956521739130435,0.5652173913043478
48,pupil,0,0.7415730337078652,0.4782608695652174,0.4782608695652174
48,pupil,1,0.7303370786516854,0.6086956521739131,0.34782608695652173
48,pupil,2,0.6292134831460674,0.7391304347826086,0.5217391304347826
49,hr,0,0.5280898876404494,0.391304347826087,0.4782608695652174
49,hr,1,0.550561797752809,0.4782608695652174,0.4782608695652174
49,hr,2,0.5617977528089888,0.4782608695652174,0.4782608695652174
49,eda,0,0.6404494382022472,0.5217391304347826,0.5217391304347826
49,eda,1,0.5617977528089888,0.5652173913043478,0.5217391304347826
49,eda,2,0.651685393258427,0.391304347826087,0.43478260869565216
49,pupil,0,0.651685393258427,0.6086956521739131,0.6086956521739131
49,pupil,1,0.6629213483146067,0.6086956521739131,0.43478260869565216
49,pupil,2,0.7078651685393258,0.5217391304347826,0.43478260869565216
50,hr,0,0.48314606741573035,0.5217391304347826,0.5217391304347826
50,hr,1,0.5842696629213483,0.391304347826087,0.6956521739130435
50,hr,2,0.4606741573033708,0.6086956521739131,0.5217391304347826
50,eda,0,0.5955056179775281,0.6086956521739131,0.6086956521739131
50,eda,1,0.6179775280898876,0.5217391304347826,0.5652173913043478
50,eda,2,0.4943820224719101,0.4782608695652174,0.391304347826087
50,pupil,0,0.7191011235955056,0.43478260869565216,0.6086956521739131
50,pupil,1,0.7078651685393258,0.5217391304347826,0.5217391304347826
50,pupil,2,0.6741573033707865,0.5652173913043478,0.4782608695652174
51,hr,0,0.5617977528089888,0.6956521739130435,0.5652173913043478
51,hr,1,0.5617977528089888,0.4782608695652174,0.5652173913043478
51,hr,2,0.550561797752809,0.6086956521739131,0.2608695652173913
51,eda,0,0.5393258426966292,0.5652173913043478,0.43478260869565216
51,eda,1,0.6629213483146067,0.4782608695652174,0.34782608695652173
51,eda,2,0.6067415730337079,0.391304347826087,0.5652173913043478
51,pupil,0,0.6629213483146067,0.5652173913043478,0.4782608695652174
51,pupil,1,0.7191011235955056,0.43478260869565216,0.43478260869565216
51,pupil,2,0.6741573033707865,0.6956521739130435,0.391304347826087
52,hr,0,0.5393258426966292,0.34782608695652173,0.4782608695652174
52,hr,1,0.5617977528089888,0.34782608695652173,0.5217391304347826
52,hr,2,0.5617977528089888,0.5652173913043478,0.43478260869565216
52,eda,0,0.6179775280898876,0.5652173913043478,0.43478260869565216
52,eda,1,0.5842696629213483,0.43478260869565216,0.391304347826087
52,eda,2,0.6179775280898876,0.4782608695652174,0.6086956521739131
52,pupil,0,0.6404494382022472,0.5652173913043478,0.4782608695652174
52,pupil,1,0.5955056179775281,0.4782608695652174,0.391304347826087
52,pupil,2,0.7415730337078652,0.5217391304347826,0.5217391304347826
53,hr,0,0.6741573033707865,0.5652173913043478,0.5217391304347826
53,hr,1,0.5955056179775281,0.6956521739130435,0.5652173913043478
53,hr,2,0.6741573033707865,0.5652173913043478,0.391304347826087
53,eda,0,0.6404494382022472,0.43478260869565216,0.391304347826087
53,eda,1,0.550561797752809,0.7391304347826086,0.6086956521739131
53,eda,2,0.6292134831460674,0.43478260869565216,0.4782608695652174
53,pupil,0,0.7078651685393258,0.5217391304347826,0.34782608695652173
53,pupil,1,0.7078651685393258,0.6086956521739131,0.5652173913043478
53,pupil,2,0.7191011235955056,0.6086956521739131,0.6521739130434783
54,hr,0,0.5955056179775281,0.6086956521739131,0.5217391304347826
54,hr,1,0.5730337078651685,0.5652173913043478,0.4782608695652174
54,hr,2,0.550561797752809,0.5652173913043478,0.34782608695652173
54,eda,0,0.6966292134831461,0.7391304347826086,0.6521739130434783
54,eda,1,0.7303370786516854,0.6956521739130435,0.5652173913043478
54,eda,2,0.7528089887640449,0.5652173913043478,0.7391304347826086
54,pupil,0,0.6404494382022472,0.6521739130434783,0.391304347826087
54,pupil,1,0.6629213483146067,0.5217391304347826,0.391304347826087
54,pupil,2,0.7640449438202247,0.5217391304347826,0.5652173913043478
55,hr,0,0.5617977528089888,0.6086956521739131,0.5652173913043478
55,hr,1,0.5168539325842697,0.391304347826087,0.6086956521739131
55,hr,2,0.5393258426966292,0.5217391304347826,0.5217391304347826
55,eda,0,0.5617977528089888,0.5652173913043478,0.4782608695652174
55,eda,1,0.6067415730337079,0.4782608695652174,0.5652173913043478
55,eda,2,0.6179775280898876,0.6521739130434783,0.43478260869565216
55,pupil,0,0.6404494382022472,0.8695652173913043,0.2608695652173913
55,pupil,1,0.6853932584269663,0.43478260869565216,0.391304347826087
55,pupil,2,0.6966292134831461,0.6956521739130435,0.4782608695652174
