,type,first layer,second layer,train,test
0,hr,10,10,0.9880341880341881,0.527450980392157
1,pupil,10,10,0.9982905982905983,0.5607843137254901
2,eda,10,10,0.9735042735042735,0.5999999999999999
3,hr,10,20,0.9965811965811966,0.48431372549019613
4,pupil,10,20,1.0,0.5823529411764705
5,eda,10,20,0.9854700854700855,0.5901960784313725
6,hr,10,30,0.9974358974358974,0.5019607843137255
7,pupil,10,30,0.9991452991452991,0.5568627450980391
8,eda,10,30,0.9888888888888889,0.6058823529411765
9,hr,10,40,0.9948717948717949,0.5078431372549019
10,pupil,10,40,1.0,0.596078431372549
11,eda,10,40,0.9914529914529915,0.6
12,hr,10,50,0.9965811965811966,0.5215686274509805
13,pupil,10,50,1.0,0.5705882352941177
14,eda,10,50,0.9854700854700855,0.6058823529411764
15,hr,10,60,0.9974358974358974,0.511764705882353
16,pupil,10,60,1.0,0.5549019607843138
17,eda,10,60,0.9871794871794872,0.6156862745098038
18,hr,10,70,0.9991452991452991,0.5039215686274509
19,pupil,10,70,1.0,0.5627450980392156
20,eda,10,70,0.994017094017094,0.6058823529411763
21,hr,10,80,0.9982905982905983,0.5098039215686275
22,pupil,10,80,1.0,0.5901960784313726
23,eda,10,80,0.9931623931623932,0.584313725490196
24,hr,10,90,0.9974358974358974,0.49607843137254903
25,pupil,10,90,1.0,0.5705882352941176
26,eda,10,90,0.9888888888888889,0.6
27,hr,10,100,0.9965811965811966,0.5176470588235295
28,pupil,10,100,1.0,0.592156862745098
29,eda,10,100,0.9880341880341881,0.6019607843137255
30,hr,10,110,0.9991452991452991,0.5117647058823529
31,pupil,10,110,1.0,0.5686274509803921
32,eda,10,110,0.994017094017094,0.5823529411764705
33,hr,10,120,0.9991452991452991,0.5058823529411764
34,pupil,10,120,1.0,0.5627450980392157
35,eda,10,120,0.9948717948717949,0.5862745098039215
36,hr,10,130,1.0,0.5019607843137255
37,pupil,10,130,1.0,0.5647058823529412
38,eda,10,130,0.9948717948717949,0.6039215686274509
39,hr,10,140,0.9991452991452991,0.5137254901960785
40,pupil,10,140,1.0,0.5450980392156862
41,eda,10,140,0.9957264957264957,0.5921568627450979
42,hr,20,10,0.9965811965811966,0.4941176470588235
43,pupil,20,10,1.0,0.5509803921568627
44,eda,20,10,0.9974358974358974,0.6254901960784313
45,hr,20,20,0.9991452991452991,0.5019607843137254
46,pupil,20,20,1.0,0.5607843137254902
47,eda,20,20,0.9982905982905983,0.6156862745098038
48,hr,20,30,1.0,0.5117647058823529
49,pupil,20,30,1.0,0.5745098039215686
50,eda,20,30,0.994017094017094,0.5999999999999999
51,hr,20,40,0.9991452991452991,0.5039215686274509
52,pupil,20,40,1.0,0.5529411764705882
53,eda,20,40,0.9982905982905983,0.6156862745098038
54,hr,20,50,1.0,0.5176470588235292
55,pupil,20,50,1.0,0.5725490196078431
56,eda,20,50,0.9957264957264957,0.6156862745098038
57,hr,20,60,0.9974358974358974,0.5176470588235293
58,pupil,20,60,1.0,0.5549019607843138
59,eda,20,60,0.9974358974358974,0.5941176470588234
60,hr,20,70,1.0,0.5078431372549019
61,pupil,20,70,1.0,0.5529411764705883
62,eda,20,70,0.9991452991452991,0.6078431372549019
63,hr,20,80,1.0,0.503921568627451
64,pupil,20,80,1.0,0.5705882352941176
65,eda,20,80,0.9974358974358974,0.6
66,hr,20,90,1.0,0.5137254901960785
67,pupil,20,90,1.0,0.5705882352941176
68,eda,20,90,0.9982905982905983,0.5921568627450979
69,hr,20,100,1.0,0.5137254901960785
70,pupil,20,100,1.0,0.5627450980392157
71,eda,20,100,0.9974358974358974,0.5941176470588234
72,hr,20,110,1.0,0.511764705882353
73,pupil,20,110,1.0,0.5450980392156862
74,eda,20,110,0.9957264957264957,0.6019607843137254
75,hr,20,120,1.0,0.5215686274509804
76,pupil,20,120,1.0,0.5490196078431372
77,eda,20,120,0.9982905982905983,0.5862745098039215
78,hr,20,130,0.9991452991452991,0.5078431372549018
79,pupil,20,130,1.0,0.5490196078431373
80,eda,20,130,0.9974358974358974,0.6274509803921567
81,hr,20,140,1.0,0.5156862745098039
82,pupil,20,140,1.0,0.5470588235294117
83,eda,20,140,0.9974358974358974,0.6019607843137254
84,hr,30,10,0.9931623931623932,0.5431372549019609
85,pupil,30,10,0.9957264957264957,0.5647058823529412
86,eda,30,10,0.9752136752136753,0.5960784313725489
87,hr,30,20,0.9991452991452991,0.5078431372549018
88,pupil,30,20,1.0,0.5705882352941176
89,eda,30,20,0.994017094017094,0.6117647058823529
90,hr,30,30,0.9974358974358974,0.48627450980392156
91,pupil,30,30,1.0,0.5490196078431373
92,eda,30,30,0.9957264957264957,0.5960784313725489
93,hr,30,40,1.0,0.5176470588235293
94,pupil,30,40,1.0,0.5843137254901961
95,eda,30,40,0.9991452991452991,0.5941176470588235
96,hr,30,50,0.9991452991452991,0.5058823529411764
97,pupil,30,50,1.0,0.5745098039215686
98,eda,30,50,0.9965811965811966,0.580392156862745
99,hr,30,60,1.0,0.49019607843137253
100,pupil,30,60,1.0,0.596078431372549
101,eda,30,60,0.9965811965811966,0.6058823529411765
102,hr,30,70,1.0,0.5215686274509804
103,pupil,30,70,1.0,0.5705882352941176
104,eda,30,70,0.9948717948717949,0.6098039215686273
105,hr,30,80,1.0,0.5215686274509804
106,pupil,30,80,1.0,0.5568627450980392
107,eda,30,80,0.9965811965811966,0.6156862745098038
108,hr,30,90,1.0,0.515686274509804
109,pupil,30,90,1.0,0.5529411764705882
110,eda,30,90,0.9982905982905983,0.6176470588235294
111,hr,30,100,0.9982905982905983,0.511764705882353
112,pupil,30,100,1.0,0.5745098039215687
113,eda,30,100,0.9965811965811966,0.6078431372549019
114,hr,30,110,0.9991452991452991,0.496078431372549
115,pupil,30,110,1.0,0.5588235294117646
116,eda,30,110,0.9974358974358974,0.584313725490196
117,hr,30,120,0.9991452991452991,0.5039215686274509
118,pupil,30,120,1.0,0.5529411764705883
119,eda,30,120,0.9982905982905983,0.6
120,hr,30,130,0.9991452991452991,0.49803921568627446
121,pupil,30,130,1.0,0.5647058823529412
122,eda,30,130,0.9957264957264957,0.588235294117647
123,hr,30,140,1.0,0.4980392156862745
124,pupil,30,140,1.0,0.5725490196078432
125,eda,30,140,0.9991452991452991,0.6058823529411764
126,hr,40,10,0.9991452991452991,0.5
127,pupil,40,10,1.0,0.5705882352941177
128,eda,40,10,0.9931623931623932,0.6019607843137255
129,hr,40,20,0.9965811965811966,0.49607843137254903
130,pupil,40,20,1.0,0.5686274509803921
131,eda,40,20,0.9982905982905983,0.5960784313725489
132,hr,40,30,1.0,0.5196078431372549
133,pupil,40,30,1.0,0.5764705882352942
134,eda,40,30,0.9982905982905983,0.5941176470588235
135,hr,40,40,1.0,0.5000000000000001
136,pupil,40,40,1.0,0.5647058823529412
137,eda,40,40,0.9982905982905983,0.6039215686274509
138,hr,40,50,1.0,0.49411764705882355
139,pupil,40,50,1.0,0.568627450980392
140,eda,40,50,0.9982905982905983,0.584313725490196
141,hr,40,60,1.0,0.507843137254902
142,pupil,40,60,1.0,0.5784313725490197
143,eda,40,60,0.9991452991452991,0.5960784313725489
144,hr,40,70,1.0,0.4980392156862745
145,pupil,40,70,1.0,0.5686274509803921
146,eda,40,70,1.0,0.6156862745098038
147,hr,40,80,1.0,0.49215686274509796
148,pupil,40,80,1.0,0.5823529411764705
149,eda,40,80,0.9991452991452991,0.592156862745098
150,hr,40,90,1.0,0.503921568627451
151,pupil,40,90,1.0,0.5627450980392157
152,eda,40,90,1.0,0.596078431372549
153,hr,40,100,1.0,0.511764705882353
154,pupil,40,100,1.0,0.5745098039215686
155,eda,40,100,0.9974358974358974,0.5901960784313725
156,hr,40,110,0.9991452991452991,0.5078431372549018
157,pupil,40,110,1.0,0.588235294117647
158,eda,40,110,0.9991452991452991,0.588235294117647
159,hr,40,120,1.0,0.5019607843137254
160,pupil,40,120,1.0,0.580392156862745
161,eda,40,120,0.9991452991452991,0.6039215686274508
162,hr,40,130,1.0,0.511764705882353
163,pupil,40,130,1.0,0.5764705882352941
164,eda,40,130,1.0,0.584313725490196
165,hr,40,140,1.0,0.4941176470588235
166,pupil,40,140,1.0,0.596078431372549
167,eda,40,140,1.0,0.5921568627450979
168,hr,50,10,0.9974358974358974,0.5117647058823529
169,pupil,50,10,1.0,0.5823529411764706
170,eda,50,10,0.9931623931623932,0.5921568627450979
171,hr,50,20,1.0,0.5156862745098038
172,pupil,50,20,1.0,0.5666666666666667
173,eda,50,20,0.9982905982905983,0.5921568627450979
174,hr,50,30,1.0,0.5098039215686274
175,pupil,50,30,1.0,0.5568627450980392
176,eda,50,30,0.9948717948717949,0.6196078431372549
177,hr,50,40,1.0,0.5137254901960784
178,pupil,50,40,1.0,0.5529411764705883
179,eda,50,40,0.9991452991452991,0.5960784313725489
180,hr,50,50,0.9991452991452991,0.5156862745098039
181,pupil,50,50,1.0,0.5490196078431372
182,eda,50,50,0.9982905982905983,0.6078431372549019
183,hr,50,60,1.0,0.5176470588235293
184,pupil,50,60,1.0,0.5705882352941176
185,eda,50,60,0.9982905982905983,0.584313725490196
186,hr,50,70,1.0,0.5254901960784313
187,pupil,50,70,1.0,0.5627450980392157
188,eda,50,70,0.9974358974358974,0.6117647058823528
189,hr,50,80,1.0,0.5098039215686273
190,pupil,50,80,1.0,0.580392156862745
191,eda,50,80,0.9965811965811966,0.580392156862745
192,hr,50,90,1.0,0.5098039215686274
193,pupil,50,90,1.0,0.5490196078431372
194,eda,50,90,0.9982905982905983,0.6019607843137255
195,hr,50,100,1.0,0.5137254901960785
196,pupil,50,100,1.0,0.5784313725490196
197,eda,50,100,0.9982905982905983,0.6019607843137254
198,hr,50,110,1.0,0.5156862745098039
199,pupil,50,110,1.0,0.5568627450980391
200,eda,50,110,1.0,0.6058823529411764
201,hr,50,120,1.0,0.5215686274509804
202,pupil,50,120,1.0,0.5568627450980392
203,eda,50,120,0.9991452991452991,0.5980392156862745
204,hr,50,130,1.0,0.49999999999999994
205,pupil,50,130,1.0,0.5568627450980392
206,eda,50,130,1.0,0.5901960784313725
207,hr,50,140,1.0,0.5215686274509804
208,pupil,50,140,1.0,0.5450980392156862
209,eda,50,140,0.9991452991452991,0.5862745098039215
210,hr,60,10,0.9948717948717949,0.5176470588235295
211,pupil,60,10,1.0,0.5627450980392156
212,eda,60,10,0.9974358974358974,0.5999999999999999
213,hr,60,20,1.0,0.5058823529411766
214,pupil,60,20,1.0,0.5607843137254902
215,eda,60,20,0.9982905982905983,0.6098039215686273
216,hr,60,30,1.0,0.5176470588235293
217,pupil,60,30,1.0,0.5588235294117647
218,eda,60,30,0.9974358974358974,0.5980392156862744
219,hr,60,40,1.0,0.5137254901960785
220,pupil,60,40,1.0,0.5509803921568628
221,eda,60,40,0.9982905982905983,0.596078431372549
222,hr,60,50,1.0,0.496078431372549
223,pupil,60,50,1.0,0.5588235294117647
224,eda,60,50,1.0,0.6098039215686274
225,hr,60,60,1.0,0.5176470588235295
226,pupil,60,60,1.0,0.5549019607843138
227,eda,60,60,0.9974358974358974,0.5980392156862745
228,hr,60,70,1.0,0.5098039215686275
229,pupil,60,70,1.0,0.5607843137254903
230,eda,60,70,1.0,0.6019607843137254
231,hr,60,80,1.0,0.5098039215686274
232,pupil,60,80,1.0,0.5784313725490196
233,eda,60,80,1.0,0.6196078431372548
234,hr,60,90,1.0,0.5137254901960784
235,pupil,60,90,1.0,0.5705882352941177
236,eda,60,90,0.9991452991452991,0.6176470588235293
237,hr,60,100,1.0,0.5000000000000001
238,pupil,60,100,1.0,0.5529411764705883
239,eda,60,100,0.9982905982905983,0.6039215686274509
240,hr,60,110,1.0,0.511764705882353
241,pupil,60,110,1.0,0.5470588235294118
242,eda,60,110,0.9982905982905983,0.5980392156862744
243,hr,60,120,1.0,0.5117647058823528
244,pupil,60,120,1.0,0.5725490196078431
245,eda,60,120,1.0,0.6019607843137254
246,hr,60,130,1.0,0.5019607843137254
247,pupil,60,130,1.0,0.5705882352941177
248,eda,60,130,1.0,0.588235294117647
249,hr,60,140,1.0,0.5019607843137254
250,pupil,60,140,1.0,0.5764705882352942
251,eda,60,140,1.0,0.5999999999999999
252,hr,70,10,0.9982905982905983,0.515686274509804
253,pupil,70,10,0.9991452991452991,0.5509803921568628
254,eda,70,10,0.9957264957264957,0.5901960784313725
255,hr,70,20,1.0,0.5078431372549019
256,pupil,70,20,1.0,0.5549019607843138
257,eda,70,20,1.0,0.6039215686274509
258,hr,70,30,1.0,0.511764705882353
259,pupil,70,30,1.0,0.5588235294117646
260,eda,70,30,1.0,0.5823529411764705
261,hr,70,40,1.0,0.5098039215686273
262,pupil,70,40,1.0,0.5647058823529412
263,eda,70,40,1.0,0.6078431372549019
264,hr,70,50,1.0,0.5196078431372549
265,pupil,70,50,1.0,0.5647058823529412
266,eda,70,50,0.9991452991452991,0.6117647058823529
267,hr,70,60,1.0,0.5176470588235295
268,pupil,70,60,1.0,0.5647058823529412
269,eda,70,60,0.9991452991452991,0.6137254901960784
270,hr,70,70,1.0,0.4941176470588235
271,pupil,70,70,1.0,0.5607843137254901
272,eda,70,70,0.9982905982905983,0.6098039215686274
273,hr,70,80,1.0,0.5117647058823529
274,pupil,70,80,1.0,0.5509803921568627
275,eda,70,80,1.0,0.6039215686274509
276,hr,70,90,1.0,0.5
277,pupil,70,90,1.0,0.5607843137254902
278,eda,70,90,0.9982905982905983,0.5980392156862744
279,hr,70,100,1.0,0.5215686274509804
280,pupil,70,100,1.0,0.5607843137254901
281,eda,70,100,0.9991452991452991,0.5862745098039215
282,hr,70,110,1.0,0.5156862745098039
283,pupil,70,110,1.0,0.5588235294117647
284,eda,70,110,0.9991452991452991,0.5901960784313726
285,hr,70,120,1.0,0.4941176470588235
286,pupil,70,120,1.0,0.5627450980392157
287,eda,70,120,0.9982905982905983,0.5803921568627451
288,hr,70,130,1.0,0.492156862745098
289,pupil,70,130,1.0,0.5627450980392157
290,eda,70,130,0.9991452991452991,0.6235294117647058
291,hr,70,140,1.0,0.5176470588235295
292,pupil,70,140,1.0,0.5588235294117647
293,eda,70,140,1.0,0.6058823529411763
294,hr,80,10,0.9965811965811966,0.5117647058823529
295,pupil,80,10,0.9991452991452991,0.5705882352941176
296,eda,80,10,0.994017094017094,0.6215686274509803
297,hr,80,20,1.0,0.5078431372549019
298,pupil,80,20,1.0,0.572549019607843
299,eda,80,20,1.0,0.6137254901960784
300,hr,80,30,1.0,0.511764705882353
301,pupil,80,30,1.0,0.5607843137254903
302,eda,80,30,1.0,0.5999999999999999
303,hr,80,40,1.0,0.4980392156862745
304,pupil,80,40,1.0,0.5490196078431373
305,eda,80,40,1.0,0.5901960784313725
306,hr,80,50,1.0,0.5098039215686273
307,pupil,80,50,1.0,0.5411764705882353
308,eda,80,50,0.9991452991452991,0.5960784313725489
309,hr,80,60,1.0,0.5058823529411763
310,pupil,80,60,1.0,0.5686274509803921
311,eda,80,60,1.0,0.6019607843137255
312,hr,80,70,1.0,0.5098039215686273
313,pupil,80,70,1.0,0.5588235294117647
314,eda,80,70,0.9991452991452991,0.6
315,hr,80,80,1.0,0.5098039215686275
316,pupil,80,80,1.0,0.5568627450980391
317,eda,80,80,0.9991452991452991,0.588235294117647
318,hr,80,90,1.0,0.5196078431372548
319,pupil,80,90,1.0,0.5647058823529412
320,eda,80,90,1.0,0.6019607843137254
321,hr,80,100,1.0,0.5098039215686273
322,pupil,80,100,1.0,0.5588235294117647
323,eda,80,100,1.0,0.6176470588235293
324,hr,80,110,1.0,0.5019607843137254
325,pupil,80,110,1.0,0.5568627450980391
326,eda,80,110,1.0,0.6137254901960784
327,hr,80,120,1.0,0.5176470588235293
328,pupil,80,120,1.0,0.5627450980392157
329,eda,80,120,1.0,0.5921568627450979
330,hr,80,130,1.0,0.5254901960784314
331,pupil,80,130,1.0,0.5529411764705882
332,eda,80,130,1.0,0.5980392156862744
333,hr,80,140,1.0,0.5235294117647058
334,pupil,80,140,1.0,0.5490196078431373
335,eda,80,140,1.0,0.6058823529411764
336,hr,90,10,0.9974358974358974,0.5196078431372549
337,pupil,90,10,1.0,0.5627450980392157
338,eda,90,10,0.9982905982905983,0.6019607843137254
339,hr,90,20,1.0,0.503921568627451
340,pupil,90,20,1.0,0.5705882352941176
341,eda,90,20,0.9982905982905983,0.6098039215686273
342,hr,90,30,1.0,0.5215686274509804
343,pupil,90,30,1.0,0.5627450980392157
344,eda,90,30,0.9974358974358974,0.6137254901960784
345,hr,90,40,1.0,0.5176470588235292
346,pupil,90,40,1.0,0.5509803921568627
347,eda,90,40,0.9991452991452991,0.6235294117647058
348,hr,90,50,1.0,0.5058823529411764
349,pupil,90,50,1.0,0.5490196078431372
350,eda,90,50,1.0,0.6176470588235293
351,hr,90,60,1.0,0.5058823529411764
352,pupil,90,60,1.0,0.5450980392156862
353,eda,90,60,1.0,0.6058823529411763
354,hr,90,70,1.0,0.5137254901960783
355,pupil,90,70,1.0,0.5705882352941176
356,eda,90,70,1.0,0.6078431372549019
357,hr,90,80,1.0,0.5137254901960785
358,pupil,90,80,1.0,0.5529411764705883
359,eda,90,80,1.0,0.6156862745098038
360,hr,90,90,1.0,0.5117647058823529
361,pupil,90,90,1.0,0.5607843137254901
362,eda,90,90,0.9991452991452991,0.6019607843137254
363,hr,90,100,1.0,0.5078431372549019
364,pupil,90,100,1.0,0.5607843137254902
365,eda,90,100,1.0,0.6019607843137255
366,hr,90,110,1.0,0.5215686274509804
367,pupil,90,110,1.0,0.5490196078431372
368,eda,90,110,1.0,0.6274509803921567
369,hr,90,120,1.0,0.5137254901960785
370,pupil,90,120,1.0,0.5607843137254902
371,eda,90,120,1.0,0.6176470588235293
372,hr,90,130,1.0,0.5156862745098039
373,pupil,90,130,1.0,0.5509803921568628
374,eda,90,130,0.9991452991452991,0.6137254901960785
375,hr,90,140,1.0,0.5058823529411764
376,pupil,90,140,1.0,0.5470588235294117
377,eda,90,140,0.9991452991452991,0.6137254901960784
378,hr,100,10,0.9991452991452991,0.5254901960784314
379,pupil,100,10,1.0,0.5823529411764706
380,eda,100,10,0.9982905982905983,0.6058823529411764
381,hr,100,20,1.0,0.5215686274509804
382,pupil,100,20,1.0,0.5784313725490196
383,eda,100,20,0.9965811965811966,0.6294117647058822
384,hr,100,30,1.0,0.5176470588235295
385,pupil,100,30,1.0,0.5666666666666667
386,eda,100,30,0.9991452991452991,0.6019607843137255
387,hr,100,40,1.0,0.496078431372549
388,pupil,100,40,1.0,0.5764705882352941
389,eda,100,40,1.0,0.6058823529411764
390,hr,100,50,1.0,0.5137254901960785
391,pupil,100,50,1.0,0.5647058823529412
392,eda,100,50,1.0,0.5901960784313725
393,hr,100,60,1.0,0.5058823529411764
394,pupil,100,60,1.0,0.5784313725490194
395,eda,100,60,1.0,0.6196078431372548
396,hr,100,70,1.0,0.5313725490196078
397,pupil,100,70,1.0,0.5666666666666667
398,eda,100,70,1.0,0.6117647058823529
399,hr,100,80,1.0,0.5352941176470588
400,pupil,100,80,1.0,0.5627450980392157
401,eda,100,80,1.0,0.588235294117647
402,hr,100,90,1.0,0.5019607843137254
403,pupil,100,90,1.0,0.5627450980392157
404,eda,100,90,0.9982905982905983,0.6215686274509803
405,hr,100,100,1.0,0.5196078431372549
406,pupil,100,100,1.0,0.5705882352941177
407,eda,100,100,0.9991452991452991,0.6196078431372548
408,hr,100,110,1.0,0.4843137254901961
409,pupil,100,110,1.0,0.5627450980392157
410,eda,100,110,1.0,0.6058823529411763
411,hr,100,120,1.0,0.49999999999999994
412,pupil,100,120,1.0,0.5764705882352941
413,eda,100,120,0.9991452991452991,0.5960784313725489
414,hr,100,130,1.0,0.49999999999999994
415,pupil,100,130,1.0,0.5745098039215686
416,eda,100,130,0.9991452991452991,0.6078431372549018
417,hr,100,140,1.0,0.5196078431372549
418,pupil,100,140,1.0,0.5745098039215686
419,eda,100,140,1.0,0.6137254901960784
420,hr,110,10,1.0,0.507843137254902
421,pupil,110,10,1.0,0.5666666666666667
422,eda,110,10,0.9991452991452991,0.6039215686274509
423,hr,110,20,1.0,0.515686274509804
424,pupil,110,20,1.0,0.5549019607843136
425,eda,110,20,0.9991452991452991,0.6058823529411763
426,hr,110,30,0.9991452991452991,0.5019607843137254
427,pupil,110,30,1.0,0.5764705882352941
428,eda,110,30,1.0,0.6078431372549018
429,hr,110,40,1.0,0.523529411764706
430,pupil,110,40,1.0,0.580392156862745
431,eda,110,40,1.0,0.6137254901960784
432,hr,110,50,1.0,0.496078431372549
433,pupil,110,50,1.0,0.5686274509803921
434,eda,110,50,0.9982905982905983,0.6098039215686273
435,hr,110,60,1.0,0.5254901960784314
436,pupil,110,60,1.0,0.5666666666666667
437,eda,110,60,1.0,0.6078431372549019
438,hr,110,70,1.0,0.5078431372549019
439,pupil,110,70,1.0,0.5686274509803921
440,eda,110,70,1.0,0.5921568627450979
441,hr,110,80,1.0,0.5215686274509804
442,pupil,110,80,1.0,0.5745098039215686
443,eda,110,80,1.0,0.6058823529411764
444,hr,110,90,1.0,0.5137254901960784
445,pupil,110,90,1.0,0.5705882352941176
446,eda,110,90,1.0,0.6156862745098038
447,hr,110,100,1.0,0.5333333333333333
448,pupil,110,100,1.0,0.5823529411764705
449,eda,110,100,1.0,0.6098039215686274
450,hr,110,110,1.0,0.5254901960784314
451,pupil,110,110,1.0,0.5705882352941176
452,eda,110,110,1.0,0.5980392156862744
453,hr,110,120,1.0,0.5058823529411766
454,pupil,110,120,1.0,0.5666666666666667
455,eda,110,120,1.0,0.5901960784313725
456,hr,110,130,1.0,0.5372549019607842
457,pupil,110,130,1.0,0.5607843137254902
458,eda,110,130,1.0,0.6078431372549018
459,hr,110,140,1.0,0.5196078431372548
460,pupil,110,140,1.0,0.5588235294117647
461,eda,110,140,1.0,0.6137254901960782
462,hr,120,10,0.9991452991452991,0.5058823529411764
463,pupil,120,10,1.0,0.5803921568627451
464,eda,120,10,0.9965811965811966,0.6
465,hr,120,20,1.0,0.5117647058823529
466,pupil,120,20,1.0,0.5568627450980392
467,eda,120,20,0.9991452991452991,0.6235294117647058
468,hr,120,30,1.0,0.5372549019607843
469,pupil,120,30,1.0,0.5588235294117646
470,eda,120,30,1.0,0.6176470588235292
471,hr,120,40,1.0,0.5333333333333333
472,pupil,120,40,1.0,0.5549019607843138
473,eda,120,40,1.0,0.5999999999999999
474,hr,120,50,1.0,0.5294117647058824
475,pupil,120,50,1.0,0.5529411764705882
476,eda,120,50,0.9991452991452991,0.6
477,hr,120,60,1.0,0.5039215686274511
478,pupil,120,60,1.0,0.5627450980392156
479,eda,120,60,0.9991452991452991,0.5999999999999999
480,hr,120,70,1.0,0.5098039215686273
481,pupil,120,70,1.0,0.5549019607843138
482,eda,120,70,0.9991452991452991,0.6137254901960784
483,hr,120,80,1.0,0.5254901960784314
484,pupil,120,80,1.0,0.5725490196078431
485,eda,120,80,1.0,0.6176470588235294
486,hr,120,90,1.0,0.5137254901960784
487,pupil,120,90,1.0,0.5607843137254902
488,eda,120,90,1.0,0.6313725490196077
489,hr,120,100,1.0,0.5137254901960784
490,pupil,120,100,1.0,0.5607843137254902
491,eda,120,100,1.0,0.5921568627450979
492,hr,120,110,1.0,0.5156862745098039
493,pupil,120,110,1.0,0.5666666666666667
494,eda,120,110,1.0,0.6058823529411764
495,hr,120,120,1.0,0.5176470588235295
496,pupil,120,120,1.0,0.5647058823529412
497,eda,120,120,1.0,0.6333333333333332
498,hr,120,130,1.0,0.5176470588235293
499,pupil,120,130,1.0,0.5647058823529412
500,eda,120,130,0.9991452991452991,0.5980392156862745
501,hr,120,140,1.0,0.515686274509804
502,pupil,120,140,1.0,0.5549019607843138
503,eda,120,140,1.0,0.6137254901960784
504,hr,130,10,0.9991452991452991,0.5333333333333333
505,pupil,130,10,1.0,0.5666666666666665
506,eda,130,10,0.9974358974358974,0.6058823529411764
507,hr,130,20,1.0,0.5137254901960785
508,pupil,130,20,1.0,0.5705882352941176
509,eda,130,20,0.9982905982905983,0.6058823529411764
510,hr,130,30,1.0,0.5019607843137255
511,pupil,130,30,1.0,0.5745098039215687
512,eda,130,30,1.0,0.5862745098039215
513,hr,130,40,1.0,0.5196078431372549
514,pupil,130,40,1.0,0.5843137254901961
515,eda,130,40,1.0,0.6078431372549019
516,hr,130,50,1.0,0.5137254901960785
517,pupil,130,50,1.0,0.5705882352941176
518,eda,130,50,1.0,0.6058823529411764
519,hr,130,60,1.0,0.5196078431372548
520,pupil,130,60,1.0,0.5647058823529412
521,eda,130,60,1.0,0.6039215686274509
522,hr,130,70,1.0,0.5058823529411763
523,pupil,130,70,1.0,0.5725490196078432
524,eda,130,70,1.0,0.6019607843137255
525,hr,130,80,1.0,0.503921568627451
526,pupil,130,80,1.0,0.5627450980392158
527,eda,130,80,1.0,0.6098039215686274
528,hr,130,90,1.0,0.5117647058823529
529,pupil,130,90,1.0,0.5549019607843136
530,eda,130,90,1.0,0.6078431372549019
531,hr,130,100,1.0,0.492156862745098
532,pupil,130,100,1.0,0.5705882352941176
533,eda,130,100,1.0,0.6156862745098038
534,hr,130,110,1.0,0.5039215686274509
535,pupil,130,110,1.0,0.5666666666666668
536,eda,130,110,1.0,0.6098039215686274
537,hr,130,120,1.0,0.5137254901960785
538,pupil,130,120,1.0,0.5607843137254902
539,eda,130,120,1.0,0.5941176470588234
540,hr,130,130,1.0,0.515686274509804
541,pupil,130,130,1.0,0.5490196078431372
542,eda,130,130,1.0,0.5980392156862744
543,hr,130,140,1.0,0.5039215686274509
544,pupil,130,140,1.0,0.5647058823529412
545,eda,130,140,1.0,0.5980392156862745
546,hr,140,10,0.9914529914529915,0.5117647058823529
547,pupil,140,10,1.0,0.5784313725490197
548,eda,140,10,0.9957264957264957,0.5921568627450979
549,hr,140,20,1.0,0.5117647058823529
550,pupil,140,20,1.0,0.5627450980392157
551,eda,140,20,0.9991452991452991,0.6058823529411765
552,hr,140,30,1.0,0.5176470588235295
553,pupil,140,30,1.0,0.5607843137254902
554,eda,140,30,1.0,0.5980392156862744
555,hr,140,40,1.0,0.492156862745098
556,pupil,140,40,1.0,0.5627450980392157
557,eda,140,40,1.0,0.6078431372549018
558,hr,140,50,1.0,0.5274509803921569
559,pupil,140,50,1.0,0.5568627450980392
560,eda,140,50,1.0,0.6156862745098038
561,hr,140,60,1.0,0.503921568627451
562,pupil,140,60,1.0,0.5823529411764706
563,eda,140,60,0.9991452991452991,0.6235294117647058
564,hr,140,70,1.0,0.515686274509804
565,pupil,140,70,1.0,0.5647058823529412
566,eda,140,70,1.0,0.6333333333333333
567,hr,140,80,1.0,0.5058823529411766
568,pupil,140,80,1.0,0.5666666666666667
569,eda,140,80,1.0,0.6058823529411764
570,hr,140,90,1.0,0.511764705882353
571,pupil,140,90,1.0,0.5843137254901961
572,eda,140,90,1.0,0.5999999999999999
573,hr,140,100,1.0,0.5137254901960785
574,pupil,140,100,1.0,0.5705882352941176
575,eda,140,100,1.0,0.6137254901960784
576,hr,140,110,1.0,0.5058823529411764
577,pupil,140,110,1.0,0.5764705882352941
578,eda,140,110,0.9991452991452991,0.5941176470588234
579,hr,140,120,1.0,0.5176470588235295
580,pupil,140,120,1.0,0.5686274509803921
581,eda,140,120,0.9991452991452991,0.6156862745098038
582,hr,140,130,1.0,0.49999999999999994
583,pupil,140,130,1.0,0.5549019607843136
584,eda,140,130,1.0,0.6039215686274508
585,hr,140,140,1.0,0.5196078431372549
586,pupil,140,140,1.0,0.5843137254901961
587,eda,140,140,0.9982905982905983,0.5980392156862744
